Local Authority / Region Code,Local Authority / Region Name,"Jan-23
(Rapid charging or above devices) [Note 4]","Jan-23
(per 100,000 population) [Note 3]","Oct-22
(Rapid charging or above devices)","Oct-22
(per 100,000 population)","July-22
(Rapid charging or above devices)","July-22
(per 100,000 population)","Apr-22
(Rapid charging or above devices)","Apr-22
(per 100,000 population)","Jan-22
(Rapid charging or above devices)2","Jan-22
(per 100,000 population) 3","Oct-21
(Rapid charging or above devices)","Oct-21
(per 100,000 population) ","July-21
(Rapid charging or above devices)","July-21
(per 100,000 population)","Apr-21
(Rapid charging or above devices)","Apr-21
(per 100,000 population)","Jan-21
(Rapid charging or above devices)","Jan-21
(per 100,000 population)","Oct-20
(Rapid charging or above devices)","Oct-20
(per 100,000 population)","Jul-20
(Rapid charging or above devices)","Jul-20
(per 100,000 population)","Apr-20
(Rapid charging or above devices)","Apr-20
(per 100,000 population)","Jan-20
(Rapid charging or above devices)","Jan-20
(per 100,000 population)","Oct-19
(Rapid charging or above devices)","Oct-19
(per 100,000 population)"
E13000001,Inner London,352,10.3,330,9.0,326,8.9,326,8.9,323,8.8,311,8.5,261,7.1,256,7.0,224,6.2,204,5.6,193,5.3,188,5.2,169,4.7,134,3.7
E09000007,Camden,14,6.7,14,5.0,11,3.9,11,3.9,11,3.9,11,3.9,11,3.9,14,5.2,9,3.3,6,2.2,5,1.9,5,1.9,5,1.9,4,1.5
E09000001,City of London,7,81.2,4,36.6,4,36.6,1,9.1,1,9.1,1,9.1,1,9.1,1,10.3,1,10.3,1,10.3,1,10.3,1,11.5,1,11.5,1,11.5
E09000012,Hackney,16,6.2,16,5.7,17,6.1,17,6.1,17,6.1,18,6.4,18,6.4,18,6.4,17,6.0,15,5.3,12,4.3,12,4.3,12,4.3,12,4.3
E09000013,Hammersmith and Fulham,49,26.7,49,26.7,50,27.2,50,27.2,46,25.1,39,21.2,39,21.2,41,22.1,37,20.0,37,20.0,34,18.4,34,18.3,28,15.1,12,6.5
E09000014,Haringey,26,9.8,23,8.6,23,8.6,23,8.6,23,8.6,19,7.1,15,5.6,15,5.6,15,5.6,11,4.1,12,4.5,11,4.1,11,4.1,7,2.6
E09000019,Islington,25,11.5,23,9.3,22,8.9,23,9.3,24,9.7,25,10.1,23,9.3,23,9.5,21,8.7,21,8.7,20,8.2,20,8.4,18,7.5,14,5.9
E09000020,Kensington and Chelsea,5,3.5,5,3.2,5,3.2,5,3.2,5,3.2,5,3.2,5,3.2,5,3.2,5,3.2,5,3.2,5,3.2,5,3.2,2,1.3,2,1.3
E09000022,Lambeth,21,6.6,21,6.5,20,6.2,20,6.2,20,6.2,19,5.9,19,5.9,18,5.5,19,5.8,18,5.5,18,5.5,18,5.5,15,4.6,9,2.8
E09000023,Lewisham,31,10.3,18,5.9,18,5.9,21,6.9,21,6.9,21,6.9,21,6.9,17,5.6,12,3.9,12,3.9,12,3.9,10,3.3,7,2.3,7,2.3
E09000025,Newham,11,3.1,12,3.4,12,3.4,13,3.7,14,3.9,13,3.7,13,3.7,14,4.0,14,4.0,15,4.2,13,3.7,11,3.1,10,2.8,5,1.4
E09000028,Southwark,26,8.5,26,8.1,26,8.1,24,7.5,24,7.5,24,7.5,23,7.2,24,7.5,15,4.7,14,4.4,13,4.1,13,4.1,12,3.8,13,4.1
E09000030,Tower Hamlets,18,5.8,20,6.0,20,6.0,20,6.0,20,6.0,22,6.6,20,6.0,12,3.7,11,3.4,11,3.4,11,3.4,11,3.5,12,3.8,11,3.5
E09000032,Wandsworth,31,9.4,28,8.5,25,7.6,25,7.6,25,7.6,25,7.6,13,3.9,14,4.2,13,3.9,13,3.9,13,3.9,13,4.0,13,4.0,15,4.6
E09000033,Westminster,72,35.1,71,26.3,73,27.1,73,27.1,72,26.7,69,25.6,40,14.8,40,15.3,35,13.4,25,9.6,24,9.2,24,9.4,23,9.0,22,8.6
E13000002,Outer London,502,9.3,490,9.2,434,8.1,410,7.7,399,7.5,381,7.1,354,6.6,323,6.1,291,5.5,261,4.9,244,4.6,242,4.6,216,4.1,189,3.6
E09000002,Barking and Dagenham,11,5.0,11,5.1,9,4.2,9,4.2,9,4.2,9,4.2,9,4.2,9,4.2,5,2.3,2,0.9,2,0.9,2,0.9,1,0.5,1,0.5
E09000003,Barnet,36,9.3,28,7.0,21,5.3,23,5.8,25,6.3,24,6.0,23,5.8,22,5.6,22,5.6,22,5.6,20,5.1,20,5.1,20,5.1,21,5.4
E09000004,Bexley,21,8.5,21,8.4,22,8.8,22,8.8,22,8.8,17,6.8,13,5.2,13,5.2,12,4.8,8,3.2,8,3.2,8,3.2,8,3.2,7,2.8
E09000005,Brent,19,5.6,18,5.5,18,5.5,19,5.8,21,6.4,21,6.4,19,5.8,19,5.8,16,4.9,16,4.9,16,4.9,16,4.8,14,4.2,14,4.2
E09000006,Bromley,36,10.9,35,10.5,18,5.4,18,5.4,17,5.1,17,5.1,16,4.8,15,4.5,14,4.2,14,4.2,11,3.3,10,3.0,8,2.4,8,2.4
E09000008,Croydon,45,11.5,45,11.6,33,8.5,24,6.2,27,6.9,23,5.9,22,5.7,23,5.9,24,6.2,23,5.9,20,5.2,20,5.2,19,4.9,18,4.7
E09000009,Ealing,36,9.8,35,10.3,35,10.3,35,10.3,36,10.6,37,10.9,37,10.9,37,10.8,36,10.5,31,9.1,31,9.1,31,9.1,29,8.5,12,3.5
E09000010,Enfield,25,7.6,25,7.5,25,7.5,24,7.2,21,6.3,21,6.3,20,6.0,16,4.8,15,4.5,14,4.2,14,4.2,14,4.2,12,3.6,7,2.1
E09000011,Greenwich,56,19.4,57,19.7,58,20.1,52,18.0,50,17.3,48,16.6,32,11.1,32,11.1,31,10.8,30,10.4,28,9.7,28,9.8,15,5.2,15,5.2
E09000015,Harrow,10,3.8,8,3.2,8,3.2,8,3.2,8,3.2,8,3.2,8,3.2,8,3.2,5,2.0,4,1.6,5,2.0,4,1.6,4,1.6,4,1.6
E09000016,Havering,25,9.5,25,9.6,13,5.0,13,5.0,14,5.4,14,5.4,14,5.4,14,5.4,9,3.5,7,2.7,6,2.3,6,2.3,6,2.3,6,2.3
E09000017,Hillingdon,41,13.5,41,13.3,41,13.3,42,13.6,43,13.9,43,13.9,43,13.9,32,10.4,28,9.1,28,9.1,29,9.5,29,9.5,29,9.5,26,8.5
E09000018,Hounslow,36,12.5,36,13.2,34,12.5,26,9.6,24,8.8,24,8.8,23,8.5,20,7.4,20,7.4,19,7.0,17,6.3,17,6.3,16,5.9,16,5.9
E09000021,Kingston upon Thames,16,9.5,16,8.9,16,8.9,16,8.9,8,4.5,8,4.5,8,4.5,8,4.5,8,4.5,4,2.3,2,1.1,2,1.1,2,1.1,2,1.1
E09000024,Merton,17,7.9,17,8.2,17,8.2,17,8.2,17,8.2,17,8.2,17,8.2,13,6.3,10,4.8,7,3.4,6,2.9,6,2.9,6,2.9,6,2.9
E09000026,Redbridge,32,10.3,32,10.5,27,8.8,28,9.2,28,9.2,24,7.9,24,7.9,18,5.9,18,5.9,16,5.2,16,5.2,16,5.3,15,4.9,14,4.6
E09000027,Richmond upon Thames,9,4.6,9,4.5,8,4.0,8,4.0,8,4.0,8,4.0,8,4.0,7,3.5,7,3.5,6,3.0,5,2.5,5,2.5,5,2.5,5,2.5
E09000029,Sutton,18,8.6,18,8.7,18,8.7,13,6.3,13,6.3,10,4.8,10,4.8,10,4.8,7,3.4,6,2.9,6,2.9,6,2.9,6,2.9,6,2.9
E09000031,Waltham Forest,13,4.7,13,4.7,13,4.7,13,4.7,8,2.9,8,2.9,8,2.9,7,2.5,4,1.4,4,1.4,2,0.7,2,0.7,1,0.4,1,0.4
E12000008,South East,978,10.5,947,10.3,880,9.5,835,9.1,794,8.6,760,8.2,711,7.7,703,7.7,636,6.9,573,6.2,532,5.8,514,5.6,488,5.3,469,5.1
E06000036,Bracknell Forest,2,1.6,3,2.4,2,1.6,2,1.6,2,1.6,2,1.6,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8
E06000043,Brighton and Hove,16,5.8,18,6.2,17,5.8,17,5.8,13,4.5,13,4.5,10,3.4,4,1.4,2,0.7,3,1.0,1,0.3,1,0.3,1,0.3,1,0.3
E06000046,Isle of Wight,6,4.3,6,4.2,5,3.5,3,2.1,3,2.1,3,2.1,3,2.1,2,1.4,2,1.4,2,1.4,3,2.1,3,2.1,3,2.1,2,1.4
E06000035,Medway,8,2.9,7,2.5,7,2.5,7,2.5,5,1.8,6,2.1,7,2.5,7,2.5,5,1.8,6,2.2,6,2.2,6,2.2,5,1.8,5,1.8
E06000042,Milton Keynes,118,40.9,110,40.7,108,40.0,129,47.7,121,44.8,123,45.5,117,43.3,116,43.0,114,42.3,93,34.5,89,33.0,89,33.1,88,32.8,88,32.8
E06000044,Portsmouth,7,3.4,5,2.3,5,2.3,5,2.3,5,2.3,5,2.3,5,2.3,3,1.4,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9
E06000038,Reading,20,11.5,21,13.1,9,5.6,9,5.6,11,6.9,10,6.2,10,6.2,8,4.9,8,4.9,8,4.9,7,4.3,7,4.3,6,3.7,11,6.7
E06000039,Slough,35,22.1,36,24.1,36,24.1,36,24.1,35,23.4,31,20.7,31,20.7,30,20.1,29,19.4,21,14.0,21,14.0,21,14.1,21,14.1,13,8.7
E06000045,Southampton,12,4.9,12,4.7,12,4.7,10,4.0,10,4.0,10,4.0,5,2.0,6,2.4,5,2.0,5,2.0,4,1.6,4,1.6,3,1.2,3,1.2
E06000037,West Berkshire,52,32.1,40,25.2,37,23.3,37,23.3,36,22.7,36,22.7,34,21.5,31,19.6,29,18.3,29,18.3,29,18.3,29,18.3,28,17.7,28,17.7
E06000040,Windsor and Maidenhead,3,1.9,3,2.0,3,2.0,3,2.0,3,2.0,3,2.0,2,1.3,1,0.7,1,0.7,1,0.7,1,0.7,1,0.7,1,0.7,1,0.7
E06000041,Wokingham,38,21.3,38,21.8,36,20.7,35,20.1,35,20.1,35,20.1,35,20.1,35,20.5,34,19.9,32,18.7,31,18.1,31,18.5,31,18.5,27,16.1
E06000060,Buckinghamshire,41,7.4,42,7.7,36,6.6,36,6.6,35,6.4,33,6.0,33,6.0,33,6.1,27,5.0,25,4.6,22,4.0,22,4.1,17,3.1,16,3.0
E10000011,East Sussex,34,6.2,26,4.7,25,4.5,27,4.8,27,4.8,21,3.8,21,3.8,19,3.4,18,3.2,19,3.4,18,3.2,17,3.1,17,3.1,16,2.9
E07000061,Eastbourne,5,4.9,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8
E07000062,Hastings,12,13.2,4,4.3,4,4.3,4,4.3,4,4.3,4,4.3,4,4.3,4,4.3,4,4.3,5,5.4,4,4.3,4,4.3,4,4.3,4,4.3
E07000063,Lewes,3,3.0,3,2.9,3,2.9,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,4,3.9,4,3.9,3,2.9
E07000064,Rother,8,8.6,8,8.3,8,8.3,8,8.3,8,8.3,2,2.1,2,2.1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
E07000065,Wealden,6,3.7,6,3.7,5,3.1,5,3.1,5,3.1,5,3.1,5,3.1,4,2.5,3,1.9,3,1.9,3,1.9,3,1.9,3,1.9,3,1.9
E10000014,Hampshire,161,11.4,159,11.4,150,10.8,129,9.3,126,9.1,122,8.8,108,7.8,113,8.2,109,7.9,107,7.7,104,7.5,100,7.3,92,6.7,93,6.8
E07000084,Basingstoke and Deane,18,9.7,18,10.1,17,9.6,17,9.6,15,8.4,15,8.4,11,6.2,11,6.2,9,5.1,7,4.0,8,4.5,7,4.0,7,4.0,9,5.1
E07000085,East Hampshire,16,12.7,16,12.9,16,12.9,16,12.9,16,12.9,16,12.9,16,12.9,16,13.1,16,13.1,16,13.1,16,13.1,15,12.4,15,12.4,15,12.4
E07000086,Eastleigh,6,4.4,6,4.4,3,2.2,2,1.5,2,1.5,2,1.5,3,2.2,3,2.2,3,2.2,3,2.2,2,1.5,2,1.5,2,1.5,2,1.5
E07000087,Fareham,9,7.8,9,7.7,9,7.7,7,6.0,7,6.0,7,6.0,6,5.2,6,5.2,6,5.2,6,5.2,6,5.2,6,5.2,6,5.2,6,5.2
E07000088,Gosport,5,6.1,5,5.9,5,5.9,5,5.9,5,5.9,3,3.5,3,3.5,3,3.5,3,3.5,3,3.5,3,3.5,3,3.5,3,3.5,3,3.5
E07000089,Hart,20,19.9,20,20.5,20,20.5,18,18.4,20,20.5,20,20.5,19,19.5,19,19.6,19,19.6,19,19.6,19,19.6,19,19.7,15,15.6,13,13.5
E07000090,Havant,18,14.5,18,14.2,18,14.2,18,14.2,18,14.2,18,14.2,16,12.7,16,12.7,16,12.7,16,12.7,16,12.7,16,12.7,14,11.1,14,11.1
E07000091,New Forest,8,4.5,7,3.9,7,3.9,7,3.9,5,2.8,4,2.2,4,2.2,5,2.8,5,2.8,5,2.8,3,1.7,3,1.7,3,1.7,3,1.7
E07000092,Rushmoor,15,15.0,14,14.8,14,14.8,11,11.7,11,11.7,10,10.6,6,6.4,6,6.3,5,5.3,5,5.3,4,4.2,4,4.2,4,4.2,4,4.2
E07000093,Test Valley,11,8.4,11,8.7,11,8.7,10,7.9,10,7.9,10,7.9,9,7.1,11,8.7,11,8.7,11,8.7,11,8.7,10,8.0,8,6.4,9,7.2
E07000094,Winchester,35,27.4,35,27.8,30,23.8,18,14.3,17,13.5,17,13.5,15,11.9,17,13.6,16,12.8,16,12.8,16,12.8,15,12.1,15,12.1,15,12.1
E10000016,Kent,161,10.2,159,10.0,147,9.3,142,8.9,126,7.9,118,7.4,108,6.8,111,7.0,99,6.3,80,5.1,71,4.5,69,4.4,67,4.3,64,4.1
E07000105,Ashford,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5
E07000106,Canterbury,5,3.2,6,3.6,6,3.6,4,2.4,4,2.4,4,2.4,3,1.8,4,2.4,3,1.8,3,1.8,2,1.2,2,1.2,1,0.6,1,0.6
E07000107,Dartford,40,34.3,40,35.1,40,35.1,40,35.1,28,24.6,26,22.8,26,22.8,30,26.6,24,21.3,11,9.8,11,9.8,11,10.0,11,10.0,9,8.2
E07000108,Dover,13,11.1,14,11.8,6,5.1,6,5.1,4,3.4,5,4.2,5,4.2,2,1.7,2,1.7,2,1.7,2,1.7,2,1.7,2,1.7,2,1.7
E07000112,Folkestone and Hythe,19,17.3,20,17.6,21,18.5,20,17.6,20,17.6,20,17.6,20,17.6,20,17.7,16,14.2,15,13.3,15,13.3,15,13.3,15,13.3,15,13.3
E07000109,Gravesham,4,3.7,4,3.7,4,3.7,4,3.7,4,3.7,2,1.9,2,1.9,2,1.9,2,1.9,2,1.9,2,1.9,2,1.9,2,1.9,2,1.9
E07000110,Maidstone,25,14.1,25,14.4,24,13.9,22,12.7,22,12.7,22,12.7,22,12.7,22,12.8,22,12.8,22,12.8,17,9.9,17,10.0,16,9.4,15,8.8
E07000111,Sevenoaks,14,11.6,13,10.7,13,10.7,13,10.7,13,10.7,13,10.7,5,4.1,5,4.1,5,4.1,5,4.1,5,4.1,5,4.2,5,4.2,5,4.2
E07000113,Swale,10,6.6,7,4.6,7,4.6,7,4.6,5,3.3,3,2.0,3,2.0,3,2.0,3,2.0,3,2.0,1,0.7,1,0.7,1,0.7,1,0.7
E07000114,Thanet,9,6.4,9,6.4,7,4.9,7,4.9,7,4.9,7,4.9,7,4.9,7,4.9,7,4.9,5,3.5,4,2.8,4,2.8,4,2.8,4,2.8
E07000115,Tonbridge and Malling,13,9.8,13,9.8,13,9.8,13,9.8,13,9.8,10,7.5,10,7.5,11,8.3,10,7.6,7,5.3,7,5.3,5,3.8,5,3.8,5,3.8
E07000116,Tunbridge Wells,7,6.1,6,5.0,4,3.4,4,3.4,4,3.4,4,3.4,3,2.5,3,2.5,3,2.5,3,2.5,3,2.5,3,2.5,3,2.5,3,2.5
E10000025,Oxfordshire,106,14.6,104,14.9,91,13.1,74,10.6,75,10.8,73,10.5,73,10.5,72,10.4,46,6.7,44,6.4,41,5.9,38,5.5,38,5.5,36,5.2
E07000177,Cherwell,33,20.4,33,21.7,33,21.7,30,19.8,30,19.8,30,19.8,30,19.8,30,19.9,10,6.6,9,6.0,7,4.7,7,4.7,7,4.7,6,4.0
E07000178,Oxford,32,20.0,32,21.1,21,13.9,7,4.6,7,4.6,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,4,2.6,4,2.6,4,2.6,2,1.3
E07000179,South Oxfordshire,22,14.7,21,14.6,21,14.6,21,14.6,21,14.6,21,14.6,21,14.6,21,14.8,21,14.8,20,14.1,20,14.1,20,14.2,20,14.2,20,14.2
E07000180,Vale of White Horse,15,10.8,14,10.2,12,8.7,12,8.7,11,8.0,11,8.0,11,8.0,11,8.1,5,3.7,5,3.7,5,3.7,2,1.5,2,1.5,4,3.0
E07000181,West Oxfordshire,4,3.5,4,3.6,4,3.6,4,3.6,6,5.4,6,5.4,6,5.4,5,4.5,5,4.5,5,4.5,5,4.5,5,4.6,5,4.6,4,3.6
E10000030,Surrey,99,8.2,99,8.3,95,7.9,79,6.6,73,6.1,71,5.9,67,5.6,68,5.7,66,5.5,63,5.3,53,4.4,49,4.1,44,3.7,41,3.4
E07000207,Elmbridge,23,16.5,23,16.8,22,16.0,22,16.0,22,16.0,22,16.0,22,16.0,22,16.1,21,15.4,21,15.4,16,11.7,14,10.2,14,10.2,14,10.2
E07000208,Epsom and Ewell,2,2.5,2,2.5,2,2.5,2,2.5,2,2.5,2,2.5,1,1.2,1,1.2,1,1.2,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0
E07000209,Guildford,18,12.5,18,12.0,18,12.0,8,5.3,5,3.3,4,2.7,4,2.7,4,2.7,4,2.7,3,2.0,2,1.3,2,1.4,2,1.4,2,1.4
E07000210,Mole Valley,4,4.6,4,4.6,4,4.6,4,4.6,4,4.6,4,4.6,4,4.6,4,4.6,4,4.6,2,2.3,2,2.3,2,2.3,2,2.3,1,1.1
E07000211,Reigate and Banstead,8,5.3,8,5.4,6,4.0,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7
E07000212,Runnymede,5,5.7,5,5.5,4,4.4,4,4.4,4,4.4,4,4.4,4,4.4,4,4.5,4,4.5,4,4.5,4,4.5,4,4.5,4,4.5,4,4.5
E07000213,Spelthorne,9,8.7,9,9.0,9,9.0,8,8.0,6,6.0,6,6.0,6,6.0,7,7.0,7,7.0,7,7.0,7,7.0,6,6.0,3,3.0,3,3.0
E07000214,Surrey Heath,10,11.0,10,11.2,10,11.2,9,10.1,9,10.1,9,10.1,9,10.1,8,9.0,8,9.0,8,9.0,8,9.0,7,7.9,5,5.6,4,4.5
E07000215,Tandridge,9,10.2,9,10.2,9,10.2,9,10.2,9,10.2,8,9.0,6,6.8,8,9.1,8,9.1,8,9.1,6,6.8,6,6.9,6,6.9,6,6.9
E07000216,Waverley,10,7.8,10,7.9,10,7.9,8,6.3,7,5.5,7,5.5,6,4.7,5,4.0,4,3.2,4,3.2,4,3.2,4,3.2,4,3.2,3,2.4
E07000217,Woking,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
E10000032,West Sussex,59,6.7,59,6.8,59,6.8,55,6.3,53,6.1,45,5.2,41,4.7,43,5.0,39,4.5,32,3.7,28,3.2,24,2.8,23,2.7,21,2.4
E07000223,Adur,4,6.2,4,6.2,3,4.7,3,4.7,3,4.7,3,4.7,3,4.7,3,4.7,3,4.7,3,4.7,3,4.7,2,3.1,1,1.6,0,0.0
E07000224,Arun,7,4.2,7,4.3,7,4.3,5,3.1,4,2.5,4,2.5,4,2.5,4,2.5,2,1.2,2,1.2,1,0.6,1,0.6,1,0.6,1,0.6
E07000225,Chichester,12,9.6,12,9.9,12,9.9,12,9.9,11,9.1,11,9.1,8,6.6,9,7.4,9,7.4,7,5.8,6,5.0,3,2.5,4,3.3,4,3.3
E07000226,Crawley,19,16.0,20,17.8,21,18.7,21,18.7,21,18.7,14,12.4,14,12.4,14,12.5,11,9.8,6,5.3,6,5.3,6,5.3,5,4.4,5,4.4
E07000227,Horsham,7,4.7,6,4.1,6,4.1,4,2.7,4,2.7,5,3.4,4,2.7,5,3.5,6,4.2,6,4.2,4,2.8,4,2.8,4,2.8,3,2.1
E07000228,Mid Sussex,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3
E07000229,Worthing,5,4.5,5,4.5,5,4.5,5,4.5,5,4.5,3,2.7,3,2.7,3,2.7,3,2.7,3,2.7,3,2.7,3,2.7,3,2.7,3,2.7
E12000009,South West,605,10.6,553,9.8,512,9.0,469,8.3,445,7.9,422,7.5,375,6.6,359,6.4,344,6.1,306,5.4,278,4.9,272,4.9,248,4.4,216,3.9
E06000022,Bath and North East Somerset,8,4.2,6,3.1,6,3.1,3,1.5,3,1.5,3,1.5,3,1.5,3,1.6,3,1.6,3,1.6,3,1.6,3,1.6,1,0.5,1,0.5
E06000058,"Bournemouth, Christchurch and Poole",48,12.0,41,10.3,38,9.6,32,8.1,27,6.8,24,6.0,23,5.8,22,5.6,23,5.8,21,5.3,19,4.8,19,4.8,18,4.5,14,3.5
E06000023,"Bristol, City of",37,7.9,34,7.3,31,6.7,32,6.9,32,6.9,26,5.6,23,4.9,19,4.1,18,3.9,19,4.1,20,4.3,19,4.1,16,3.5,14,3.0
E06000052,Cornwall,56,9.8,53,9.2,50,8.7,48,8.4,45,7.8,44,7.7,34,5.9,34,6.0,33,5.8,28,4.9,27,4.7,27,4.8,28,4.9,27,4.8
E06000059,Dorset,34,8.9,29,7.6,26,6.8,27,7.1,23,6.1,21,5.5,19,5.0,17,4.5,15,4.0,14,3.7,12,3.2,12,3.2,11,2.9,8,2.1
E06000053,Isles of Scilly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
E06000024,North Somerset,33,15.2,32,14.8,31,14.4,30,13.9,29,13.5,28,13.0,28,13.0,26,12.1,26,12.1,26,12.1,23,10.7,20,9.3,19,8.9,17,7.9
E06000026,Plymouth,8,3.0,8,3.0,8,3.0,8,3.0,9,3.4,9,3.4,9,3.4,8,3.1,8,3.1,8,3.1,7,2.7,7,2.7,7,2.7,4,1.5
E06000025,South Gloucestershire,75,25.8,73,25.4,63,21.9,62,21.5,55,19.1,53,18.4,41,14.2,29,10.2,28,9.8,24,8.4,23,8.1,24,8.5,18,6.4,14,5.0
E06000030,Swindon,23,9.8,23,10.3,21,9.4,20,9.0,16,7.2,12,5.4,12,5.4,13,5.9,11,5.0,11,5.0,10,4.5,10,4.5,7,3.2,5,2.3
E06000027,Torbay,7,5.0,7,5.1,7,5.1,5,3.7,5,3.7,5,3.7,5,3.7,5,3.7,5,3.7,5,3.7,3,2.2,3,2.2,2,1.5,2,1.5
E06000054,Wiltshire,65,12.7,49,9.7,51,10.1,48,9.5,45,8.9,44,8.7,39,7.7,39,7.8,37,7.4,17,3.4,16,3.2,16,3.2,16,3.2,15,3.0
E10000008,Devon,103,12.6,97,12.0,87,10.7,70,8.6,69,8.5,70,8.6,63,7.8,65,8.1,62,7.7,58,7.2,48,6.0,48,6.0,44,5.5,40,5.0
E07000040,East Devon,17,11.2,17,11.5,17,11.5,17,11.5,17,11.5,17,11.5,13,8.8,13,8.9,11,7.5,10,6.8,8,5.5,8,5.5,8,5.5,8,5.5
E07000041,Exeter,27,20.9,28,21.0,24,18.0,10,7.5,9,6.8,10,7.5,9,6.8,10,7.6,10,7.6,10,7.6,10,7.6,10,7.7,8,6.1,7,5.4
E07000042,Mid Devon,19,22.8,19,22.8,15,18.0,13,15.6,13,15.6,13,15.6,12,14.4,13,15.8,12,14.6,12,14.6,8,9.7,8,9.8,8,9.8,8,9.8
E07000043,North Devon,14,14.1,9,9.2,7,7.1,7,7.1,7,7.1,7,7.1,6,6.1,6,6.2,6,6.2,6,6.2,6,6.2,6,6.2,4,4.2,3,3.1
E07000044,South Hams,4,4.5,2,2.3,2,2.3,2,2.3,2,2.3,2,2.3,2,2.3,2,2.3,2,2.3,1,1.1,1,1.1,1,1.2,1,1.2,1,1.2
E07000045,Teignbridge,5,3.7,5,3.7,5,3.7,5,3.7,5,3.7,5,3.7,5,3.7,5,3.7,5,3.7,3,2.2,1,0.7,1,0.8,1,0.8,1,0.8
E07000046,Torridge,6,8.8,6,8.7,6,8.7,6,8.7,6,8.7,6,8.7,6,8.7,6,8.8,6,8.8,6,8.8,6,8.8,6,8.8,6,8.8,6,8.8
E07000047,West Devon,11,19.1,11,19.6,11,19.6,10,17.8,10,17.8,10,17.8,10,17.8,10,17.9,10,17.9,10,17.9,8,14.3,8,14.4,8,14.4,6,10.8
E10000013,Gloucestershire,58,9.0,56,8.7,50,7.8,43,6.7,49,7.6,48,7.5,47,7.3,51,8.0,51,8.0,50,7.8,46,7.2,45,7.1,44,6.9,42,6.6
E07000078,Cheltenham,5,4.2,5,4.3,5,4.3,5,4.3,6,5.2,6,5.2,6,5.2,7,6.0,5,4.3,5,4.3,3,2.6,3,2.6,3,2.6,3,2.6
E07000079,Cotswold,8,8.8,7,7.8,3,3.3,3,3.3,3,3.3,3,3.3,3,3.3,5,5.6,5,5.6,5,5.6,4,4.5,4,4.5,4,4.5,4,4.5
E07000080,Forest of Dean,4,4.6,4,4.6,3,3.4,3,3.4,3,3.4,3,3.4,4,4.6,4,4.6,4,4.6,3,3.5,2,2.3,2,2.3,2,2.3,1,1.2
E07000081,Gloucester,13,9.8,13,10.0,12,9.3,11,8.5,11,8.5,11,8.5,9,6.9,9,7.0,9,7.0,9,7.0,9,7.0,8,6.2,7,5.4,6,4.6
E07000082,Stroud,24,19.7,22,18.2,22,18.2,18,14.9,23,19.0,23,19.0,23,19.0,23,19.2,25,20.8,25,20.8,25,20.8,25,21.0,25,21.0,25,21.0
E07000083,Tewkesbury,4,4.2,5,5.2,5,5.2,3,3.1,3,3.1,2,2.1,2,2.1,3,3.2,3,3.2,3,3.2,3,3.2,3,3.2,3,3.2,3,3.2
E10000027,Somerset,50,8.7,45,8.0,43,7.6,41,7.3,38,6.7,35,6.2,29,5.1,28,5.0,24,4.3,22,3.9,21,3.7,19,3.4,17,3.0,13,2.3
E07000187,Mendip,12,10.3,12,10.3,10,8.6,10,8.6,8,6.9,6,5.2,6,5.2,6,5.2,6,5.2,5,4.3,5,4.3,5,4.4,5,4.4,4,3.5
E07000188,Sedgemoor,12,9.5,7,5.7,7,5.7,5,4.1,7,5.7,7,5.7,7,5.7,7,5.7,6,4.9,6,4.9,6,4.9,6,4.9,5,4.1,5,4.1
E07000246,Somerset West and Taunton,11,7.0,12,7.7,12,7.7,12,7.7,9,5.8,8,5.1,2,1.3,2,1.3,2,1.3,2,1.3,2,1.3,2,1.3,2,1.3,2,1.3
E07000189,South Somerset,15,8.7,14,8.3,14,8.3,14,8.3,14,8.3,14,8.3,14,8.3,13,7.7,10,5.9,9,5.3,8,4.8,6,3.6,5,3.0,2,1.2
W92000004,Wales,283,9.1,223,7.0,213,6.7,185,5.8,169,5.3,160,5.0,141,4.4,114,3.6,102,3.2,93,2.9,85,2.7,79,2.5,71,2.3,58,1.8
